# Derived from f1tenth_safety_mjlab/track_map_0901.pgm
# radial midpoint centerline; 0.05 m uniform arc-length spacing
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.9251087; 1.3102571; -1.5716521; -0.0121648; 4.0000000; 0.0000000
0.0500000; 1.9250640; 1.2602572; -1.5722604; 0.0092580; 4.0000000; 0.0000000
0.1000000; 1.9249623; 1.2102573; -1.5717975; -0.8718467; 4.0000000; 0.0000000
0.1500000; 1.9249639; 1.1602574; -1.6153898; -1.4022846; 4.0000000; 0.0000000
0.2000000; 1.9205132; 1.1105533; -1.6853678; -0.5094250; 4.0000000; 0.0000000
0.2500000; 1.9135466; 1.0610411; -1.7108390; 0.0690689; 4.0000000; 0.0000000
0.3000000; 1.9065547; 1.0115325; -1.7073856; 1.4078310; 4.0000000; 0.0000000
0.3500000; 1.8999313; 0.9619812; -1.6370052; 1.3261221; 4.0000000; 0.0000000
0.4000000; 1.8999539; 0.9119814; -1.5706993; 0.0026547; 4.0000000; 0.0000000
0.4500000; 1.8999410; 0.8619815; -1.5705666; 0.0115169; 4.0000000; 0.0000000
0.5000000; 1.8999769; 0.8119816; -1.5699907; -0.2931268; 4.0000000; 0.0000000
0.5500000; 1.9000215; 0.7619817; -1.5846471; -1.3445813; 4.0000000; 0.0000000
0.6000000; 1.8985926; 0.7120463; -1.6518168; -1.0226549; 4.0000000; 0.0000000
0.6500000; 1.8919430; 0.6624905; -1.7029495; -0.0776827; 4.0000000; 0.0000000
0.7000000; 1.8854157; 0.6129184; -1.7068336; -0.6634721; 4.0000000; 0.0000000
0.7500000; 1.8783825; 0.5634236; -1.7400019; 0.0221835; 4.0000000; 0.0000000
0.8000000; 1.8685933; 0.5144488; -1.7388940; -0.5289361; 4.0000000; 0.0000000
0.8500000; 1.8616699; 0.4649402; -1.7653357; -1.0027870; 4.0000000; 0.0000000
0.9000000; 1.8492960; 0.4165088; -1.8154621; 1.2362218; 4.0000000; 0.0000000
0.9500000; 1.8374562; 0.3679562; -1.7536814; 0.6397918; 4.0000000; 0.0000000
1.0000000; 1.8311432; 0.3183599; -1.7216941; -0.5110137; 4.0000000; 0.0000000
1.0500000; 1.8224320; 0.2691479; -1.7472330; -0.5452446; 4.0000000; 0.0000000
1.1000000; 1.8136036; 0.2199834; -1.7744685; -2.5941531; 4.0000000; 0.0000000
1.1500000; 1.8022331; 0.1713495; -1.9040345; -3.8523955; 4.0000000; 0.0000000
1.2000000; 1.7811090; 0.1261083; -2.0963845; -4.6178947; 4.0000000; 0.0000000
1.2500000; 1.7523731; 0.0853848; -2.3265461; -6.4110187; 4.0000000; 0.0000000
1.3000000; 1.7133600; 0.0542180; -2.6466731; -5.1092267; 4.0000000; 0.0000000
1.3500000; 1.6661698; 0.0388589; -2.9002276; -2.6219720; 4.0000000; 0.0000000
1.4000000; 1.6168990; 0.0304727; -3.0312722; -1.6905072; 4.0000000; 0.0000000
1.4500000; 1.5669924; 0.0278730; -3.1157540; -0.6937901; 4.0000000; 0.0000000
1.5000000; 1.5169925; 0.0278907; 3.1327418; -0.2589277; 4.0000000; 0.0000000
1.5500000; 1.4670039; 0.0287580; 3.1197964; 0.1766826; 4.0000000; 0.0000000
1.6000000; 1.4170456; 0.0300695; 3.1286262; 0.2700246; 4.0000000; 0.0000000
1.6500000; 1.3670456; 0.0300541; -3.1410578; 0.0016648; 4.0000000; 0.0000000
1.7000000; 1.3170456; 0.0300161; -3.1409746; -0.0088297; 4.0000000; 0.0000000
1.7500000; 1.2670457; 0.0299923; -3.1414161; 0.0084746; 4.0000000; 0.0000000
1.8000000; 1.2170457; 0.0299984; -3.1409924; -0.0077783; 4.0000000; 0.0000000
1.8500000; 1.1670458; 0.0299323; -3.1413813; -0.0234469; 4.0000000; 0.0000000
1.9000000; 1.1170458; 0.0299773; 3.1406317; 0.0069040; 4.0000000; 0.0000000
1.9500000; 1.0670459; 0.0300284; 3.1409769; -0.0002465; 4.0000000; 0.0000000
2.0000000; 1.0170459; 0.0300388; 3.1409646; -0.0019891; 4.0000000; 0.0000000
2.0500000; 0.9670459; 0.0300912; 3.1408651; 0.0130436; 4.0000000; 0.0000000
2.1000000; 0.9170460; 0.0301116; 3.1415173; 0.0035816; 4.0000000; 0.0000000
2.1500000; 0.8670460; 0.0300988; -3.1414889; 0.0850671; 4.0000000; 0.0000000
2.2000000; 0.8170461; 0.0301012; -3.1372356; -1.1863937; 4.0000000; 0.0000000
2.2500000; 0.7670576; 0.0296631; 3.0866414; -2.4794312; 4.0000000; 0.0000000
2.3000000; 0.7175371; 0.0355749; 2.9629870; -1.5890740; 4.0000000; 0.0000000
2.3500000; 0.6690268; 0.0473605; 2.8836581; -0.2473234; 4.0000000; 0.0000000
2.4000000; 0.6209398; 0.0610583; 2.8712919; 1.5855259; 4.0000000; 0.0000000
2.4500000; 0.5727797; 0.0740289; 2.9503719; 2.6348438; 4.0000000; 0.0000000
2.5000000; 0.5232693; 0.0799660; 3.0817587; 1.2017402; 4.0000000; 0.0000000
2.5500000; 0.4732693; 0.0799901; -3.1413397; 0.0004200; 4.0000000; 0.0000000
2.6000000; 0.4232695; 0.0799407; -3.1413187; -0.0204957; 4.0000000; 0.0000000
2.6500000; 0.3732697; 0.0799627; 3.1408418; -0.0070059; 4.0000000; 0.0000000
2.7000000; 0.3232699; 0.0800158; 3.1404915; -0.3510915; 4.0000000; 0.0000000
2.7500000; 0.2732700; 0.0800728; 3.1229370; -2.0427480; 4.0000000; 0.0000000
2.8000000; 0.2234524; 0.0818781; 3.0211053; -1.7246071; 4.0000000; 0.0000000
2.8500000; 0.1744944; 0.0920319; 2.9348753; 1.5224634; 4.0000000; 0.0000000
2.9000000; 0.1255821; 0.1024028; 3.0109980; 2.1223902; 4.0000000; 0.0000000
2.9500000; 0.0758580; 0.1049871; 3.1166744; 0.5208309; 4.0000000; 0.0000000
3.0000000; 0.0258583; 0.1048883; -3.1404694; -0.0225739; 4.0000000; 0.0000000
3.0500000; -0.0241415; 0.1048747; 3.1415872; -0.0224694; 4.0000000; 0.0000000
3.1000000; -0.0741413; 0.1048888; 3.1404637; -0.0051612; 4.0000000; 0.0000000
3.1500000; -0.1241409; 0.1049876; 3.1402057; 0.0252006; 4.0000000; 0.0000000
3.2000000; -0.1741406; 0.1050275; 3.1414657; -0.0039689; 4.0000000; 0.0000000
